Date,Open,High,Low,Close,Volume
06/23/2023,"38.71","38.87","38.28","38.30","23,492,230"
06/22/2023,"38.94","38.99","38.41","38.73","18,047,000"
06/21/2023,"39.20","39.24","38.76","38.90","17,982,939"
06/20/2023,"39.71","39.87","39.33","39.34","26,881,170"
06/16/2023,"39.86","40.36","39.85","40.06","60,338,566"
06/15/2023,"39.41","39.83","39.28","39.75","19,905,910"
06/14/2023,"40.32","40.34","39.32","39.36","22,056,420"
06/13/2023,"39.67","40.37","39.45","40.28","26,533,760"
06/12/2023,"39.01","40.07","38.99","39.90","28,340,779"
06/09/2023,"39.28","39.59","38.87","38.97","19,777,461"
06/08/2023,"39.04","39.19","38.73","39.09","17,353,721"
06/07/2023,"38.35","39.06","38.13","38.89","25,295,131"
06/06/2023,"38.81","38.86","38.29","38.37","19,508,230"
06/05/2023,"38.48","39.02","38.34","38.65","19,785,268"
06/02/2023,"38.25","38.66","38.16","38.36","22,736,350"
06/01/2023,"38.12","38.21","37.70","38.02","20,256,141"
05/31/2023,"37.10","38.22","36.87","38.02","46,166,328"
05/30/2023,"37.36","37.36","36.92","37.01","24,371,100"
05/26/2023,"38.04","38.44","37.56","37.60","20,234,631"
05/25/2023,"38.51","38.51","37.65","37.83","30,266,600"
05/24/2023,"40.10","40.14","38.60","38.63","39,326,367"
05/23/2023,"38.55","40.14","38.00","39.64","75,379,539"
05/22/2023,"36.86","38.87","36.75","38.75","85,718,555"
05/19/2023,"36.65","37.65","36.52","36.77","33,068,320"
05/18/2023,"36.71","36.78","36.17","36.48","27,772,420"
05/17/2023,"36.98","37.05","36.51","36.75","23,206,391"
05/16/2023,"37.02","37.24","36.83","37.01","25,451,711"
05/15/2023,"37.30","37.36","37.01","37.16","16,650,410"
05/12/2023,"37.61","37.72","37.23","37.35","16,541,289"
05/11/2023,"37.60","37.65","37.21","37.58","28,566,369"
05/10/2023,"38.67","38.72","38.08","38.30","15,858,220"
05/09/2023,"38.48","38.67","38.39","38.48","15,987,900"
05/08/2023,"38.53","38.73","38.35","38.67","20,101,721"
05/05/2023,"38.38","38.50","38.09","38.49","19,225,051"
05/04/2023,"38.17","38.43","38.02","38.23","23,675,131"
05/03/2023,"39.20","39.39","38.36","38.45","27,721,930"
05/02/2023,"39.29","40.12","38.63","39.06","38,834,141"
05/01/2023,"39.00","39.52","38.86","39.21","23,917,760"
04/28/2023,"38.70","38.91","38.62","38.89","21,015,330"
04/27/2023,"38.62","38.83","38.31","38.74","22,434,051"
04/26/2023,"39.16","39.19","38.40","38.63","22,401,430"
04/25/2023,"39.75","39.92","39.29","39.33","24,492,369"
04/24/2023,"40.19","40.20","39.71","39.91","17,633,650"
04/21/2023,"40.09","40.30","39.91","40.21","19,227,109"
04/20/2023,"40.08","40.19","39.79","39.85","20,131,600"
04/19/2023,"40.43","40.56","40.20","40.24","17,214,340"
04/18/2023,"41.28","41.33","40.53","40.55","18,541,480"
04/17/2023,"41.12","41.28","40.96","41.18","17,608,641"
04/14/2023,"41.51","41.71","40.93","41.19","20,627,480"
04/13/2023,"41.53","41.70","41.30","41.47","22,880,859"
04/12/2023,"41.63","41.79","41.27","41.37","17,035,070"
04/11/2023,"41.80","41.99","41.70","41.79","15,304,120"
04/10/2023,"41.15","41.74","41.12","41.73","15,137,290"
04/06/2023,"41.93","42.10","41.37","41.50","25,931,830"
04/05/2023,"41.29","42.22","41.17","41.55","29,697,619"
04/04/2023,"41.44","41.53","40.76","40.90","19,514,529"
04/03/2023,"40.69","41.47","40.65","41.35","20,817,189"
03/31/2023,"40.55","40.83","40.28","40.80","23,393,580"
03/30/2023,"40.42","40.49","40.25","40.38","12,634,520"
03/29/2023,"40.16","40.27","39.99","40.25","14,429,510"
03/28/2023,"40.20","40.30","39.86","39.99","13,537,520"
03/27/2023,"40.54","40.62","39.97","40.22","20,262,830"
03/24/2023,"40.09","40.46","39.87","40.39","17,221,119"
03/23/2023,"40.17","40.50","40.00","40.18","16,958,150"
03/22/2023,"40.70","40.85","39.99","40.01","15,444,160"
03/21/2023,"40.86","40.91","40.31","40.66","19,981,980"
03/20/2023,"40.14","40.86","39.94","40.81","20,825,381"
03/17/2023,"40.63","40.79","39.99","40.10","57,457,793"
03/16/2023,"40.06","40.49","39.72","40.37","21,100,881"
